;country1;country2;index
446;Bulgaria;Latvia;0,49
447;Norway;Turkey;0,488
448;Germany;Romania;0,487
449;Finland;Greece;0,484
450;Denmark;Ukraine;0,482
451;Estonia;Turkey;0,482
452;Estonia;Cyprus;0,481
453;France;Slovakia;0,481
454;Bulgaria;Netherlands;0,48
455;France;Greece;0,48
456;Italy;Norway;0,477
457;Russia;Switzerland;0,476
458;Finland;Romania;0,474
459;Finland;Turkey;0,473
460;Denmark;Hungary;0,473
461;Italy;Sweden;0,471
462;Latvia;Sweden;0,47
463;Bulgaria;Czech Republic;0,469
464;Estonia;Greece;0,468
465;Denmark;Slovakia;0,467
466;Greece;Norway;0,462
467;Denmark;Latvia;0,462
468;Denmark;Cyprus;0,459
469;Greece;Sweden;0,459
470;Romania;Sweden;0,456
471;France;Italy;0,455
472;Denmark;Greece;0,455
473;Switzerland;Slovakia;0,453
474;Bulgaria;Greece;0,449
475;Sweden;Turkey;0,449
476;Iceland;Poland;0,449
477;France;Turkey;0,447
478;Bulgaria;Norway;0,447
479;Denmark;Russia;0,446
480;Bulgaria;Cyprus;0,445
481;Iceland;Ukraine;0,441
482;Denmark;Turkey;0,44
483;France;Latvia;0,439
484;Denmark;Italy;0,435
485;Bulgaria;France;0,432
486;France;Ukraine;0,431
487;France;Russia;0,43
488;Switzerland;Ukraine;0,427
489;Ukraine;Hungary;0,426
490;Romania;Switzerland;0,425
491;Greece;Iceland;0,425
492;Bulgaria;Sweden;0,422
493;Norway;Hungary;0,422
494;Denmark;Romania;0,414
495;Iceland;Hungary;0,413
496;Iceland;Turkey;0,407
497;Bulgaria;Denmark;0,403
498;Bulgaria;Switzerland;0,392
499;France;Romania;0,389
500;Bulgaria;Turkey;0,387
501;Iceland;Slovakia;0,381
502;Iceland;Italy;0,364
